ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
13238,RETORNOS DEL PEDREGAL,TLALPAN,19.30718,-99.22729,1,Postes_C5
13239,SAN JERONIMO LIDICE,LA MAGDALENA CONTRERAS,19.32223,-99.22128,1,Postes_C5
13240,LA CRUZ,LA MAGDALENA CONTRERAS,19.30935,-99.23407,1,Postes_C5
13241,LA MALINCHE,LA MAGDALENA CONTRERAS,19.32377,-99.24174,1,Postes_C5
13242,SAN JERONIMO LIDICE,LA MAGDALENA CONTRERAS,19.32031,-99.23863,1,Postes_C5
13243,LOMAS DE LOS CEDROS,ÁLVARO OBREGÓN,19.32303,-99.25741,1,Postes_C5
13244,LA CONCEPCION,LA MAGDALENA CONTRERAS,19.30375,-99.23764,1,Postes_C5
13245,HUAYATLA,LA MAGDALENA CONTRERAS,19.30957,-99.25971,1,Postes_C5
13246,SAN NICOLAS TOTOLAPAN 2481,LA MAGDALENA CONTRERAS,19.30012,-99.24699,1,Postes_C5
13247,PUEBLO NUEVO ALTO,LA MAGDALENA CONTRERAS,19.30579,-99.25233,1,Postes_C5
13248,SAN NICOLAS TOTOLAPAN 2480,LA MAGDALENA CONTRERAS,19.30016,-99.23647,1,Postes_C5
13249,SAN BARTOLO AMEYALCO,LA MAGDALENA CONTRERAS,19.32835,-99.24504,1,Postes_C5
13250,SAN BARTOLO AMEYALCO,LA MAGDALENA CONTRERAS,19.32795,-99.24323,1,Postes_C5
13251,SAN BARTOLOME XICOMULCO,MILPA ALTA,19.20623,-99.06767,1,Postes_C5
13252,TIERRA COLORADA,LA MAGDALENA CONTRERAS,19.27267,-99.24667,1,Postes_C5
13253,TIERRA COLORADA,LA MAGDALENA CONTRERAS,19.27043,-99.25152,1,Postes_C5
13254,TIERRA COLORADA,LA MAGDALENA CONTRERAS,19.27070,-99.24410,1,Postes_C5
13255,TIERRA COLORADA,LA MAGDALENA CONTRERAS,19.27214,-99.24473,1,Postes_C5
13262,PUEBLO NUEVO BAJO,LA MAGDALENA CONTRERAS,19.30619,-99.24310,1,Postes_C5
13264,SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.31644,-99.25696,1,Postes_C5
